-200.000 -80.000 -0.663444
-230.000 60.000 -0.148878
-155.000 260.000 -1.021056
-70.000 -100.000 -1.952411
-70.000 20.000 0.217467
-170.000 -300.000 0.435633
-50.000 100.000 -0.585067
-30.000 240.000 -1.138067
10.000 -140.000 -1.221189
10.000 -60.000 -0.949111
10.000 20.000 -0.680867
70.000 120.000 -0.332522
50.000 260.000 -0.105044
10.000 -300.000 -0.752300
90.000 -300.000 0.526122
90.000 -140.000 0.107322
90.000 -60.000 -0.494778
90.000 20.000 -0.892578
155.000 220.000 -0.059378
210.000 -180.000 1.939656
170.000 -40.000 -0.236556
190.000 300.000 -0.441489
340.000 -40.000 1.265178
190.000 60.000 1.069644
175.000 140.000 0.650700
250.000 -40.000 2.197489
295.000 180.000 1.251700
330.000 60.000 1.324011
95.000 420.000 0.689844
